자치구,동,지하철 주변 버스정류장 수,
영등포구,신길4동,0,"신길, 대방, 신풍"
영등포구,신길5동,0,"신길, 대방, 신풍"
영등포구,신길6동,7,"신길, 대방, 신풍"
영등포구,신길7동,1,"신길, 대방, 신풍"
영등포구,대림1동,0,"대림, 구로디지털단지"
영등포구,대림2동,0,"대림, 구로디지털단지"
영등포구,대림3동,4,"대림, 구로디지털단지"
영등포구,영등포본동,4,"영등포, 신길, 대방"
영등포구,영등포동,5,"영등포, 영등포시장, 신길"
영등포구,도림동,0,"영등포, 구로, 신도림"
영등포구,문래동,5,"문래, 영등포, 구로"
동작구,노량진2동,1,"노량진, 장승배기"
동작구,상도1동,5,"상도, 숭실대입구, 장승배기"
동작구,상도2동,8,"장승배기, 숭실대입구"
동작구,상도3동,2,"장승배기, 숭실대입구"
동작구,상도4동,0,"장승배기, 숭실대입구"
동작구,사당1동,2,"사당, 이수, 총신대입구"
동작구,사당3동,3,"사당, 이수, 총신대입구"
동작구,사당4동,3,"사당, 이수, 총신대입구"
동작구,사당5동,1,"사당, 이수, 총신대입구"
동작구,대방동,5,"신대방삼거리, 보라매, 대방"
동작구,신대방1동,1,"신대방, 구로디지털단지, 대림"
동작구,신대방2동,3,"신대방, 신림, 장승배기"
동작구,흑석동,5,"흑석, 상도"
동작구,노량진1동,7,"노량진, 노들"
동작구,사당2동,5,"사당, 이수, 총신대입구"
관악구,보라매동,0,"서울대입구, 봉천, 낙성대"
관악구,청림동,0,"서울대입구, 봉천, 낙성대"
관악구,행운동,0,"서울대입구, 봉천, 낙성대"
관악구,낙성대동,2,"서울대입구, 봉천, 낙성대"
관악구,중앙동,0,"서울대입구, 봉천, 낙성대"
관악구,인헌동,0,"서울대입구, 봉천, 낙성대"
관악구,남현동,4,"사당, 남태령"
관악구,서원동,0,"신림, 신대방"
관악구,신원동,0,"신림, 신대방"
관악구,서림동,0,"신림, 신대방"
관악구,신사동,0,"신림, 신대방"
관악구,신림동,4,"신림, 신대방"
관악구,난향동,0,"신림, 신대방"
관악구,조원동,2,"신림, 신대방"
관악구,대학동,0,"신림, 신대방"
관악구,은천동,4,"서울대입구, 봉천, 낙성대"
관악구,성현동,0,"서울대입구, 봉천, 낙성대"
관악구,청룡동,1,"서울대입구, 봉천, 낙성대"
관악구,난곡동,0,"신림, 신대방"
관악구,삼성동,0,"신림, 신대방"
관악구,미성동,0,"신림, 신대방"
서초구,서초1동,4,"서초, 남부터미널, 양재"
서초구,서초2동,0,"서초, 남부터미널, 양재"
서초구,서초3동,4,"서초, 남부터미널, 양재"
서초구,서초4동,2,"서초, 남부터미널, 양재"
서초구,잠원동,8,"고속터미널, 잠원, 반포"
서초구,반포본동,2,"고속터미널, 구반포, 신반포"
서초구,반포1동,0,"고속터미널, 구반포, 신반포"
서초구,반포2동,0,"고속터미널, 구반포, 신반포"
서초구,반포3동,0,"고속터미널, 잠원, 구반포"
