자치구,동,지하철 주변 버스정류장 수,자치구 내 지하철역
은평구,불광1동,6,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,갈현1동,0,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,갈현2동,1,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,구산동,2,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,대조동,8,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,응암1동,0,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,응암2동,0,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,신사1동,2,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,신사2동,2,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,증산동,2,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,수색동,4,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,진관동,5,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,불광2동,2,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
은평구,응암3동,1,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
